Northing,Easting,NorthingPlantation,EastingPlantation,DiffN,DiffE
200,0,-1785.63,-272.4,1985.63,272.4
225,-225,-1760.63,-497.4,1985.63,272.4
225,-200,-1760.63,-472.4,1985.63,272.4
225,-175,-1760.63,-447.4,1985.63,272.4
225,-150,-1760.63,-422.4,1985.63,272.4
225,0,-1760.63,-272.4,1985.63,272.4
250,-225,-1735.63,-497.4,1985.63,272.4
250,-200,-1735.63,-472.4,1985.63,272.4
250,-175,-1735.63,-447.4,1985.63,272.4
250,-150,-1735.63,-422.4,1985.63,272.4
250,0,-1735.63,-272.4,1985.63,272.4
275,-225,-1710.63,-497.4,1985.63,272.4
275,-200,-1710.63,-472.4,1985.63,272.4
275,-175,-1710.63,-447.4,1985.63,272.4
275,-150,-1710.63,-422.4,1985.63,272.4
275,0,-1710.63,-272.4,1985.63,272.4
300,-225,-1685.63,-497.4,1985.63,272.4
300,-200,-1685.63,-472.4,1985.63,272.4
300,-170,-1685.63,-442.4,1985.63,272.4
300,-150,-1685.63,-422.4,1985.63,272.4
300,0,-1685.63,-272.4,1985.63,272.4
325,-275,-1660.63,-547.4,1985.63,272.4
325,-250,-1660.63,-522.4,1985.63,272.4
325,-225,-1660.63,-497.4,1985.63,272.4
327,-200,-1658.63,-472.4,1985.63,272.4
325,-175,-1660.63,-447.4,1985.63,272.4
325,-150,-1660.63,-422.4,1985.63,272.4
331,-125,-1654.63,-397.4,1985.63,272.4
328,-97,-1657.63,-369.4,1985.63,272.4
325,-76,-1660.63,-348.4,1985.63,272.4
325,-50,-1660.63,-322.4,1985.63,272.4
325,-25,-1660.63,-297.4,1985.63,272.4
325,0,-1660.63,-272.4,1985.63,272.4
325,25,-1660.63,-247.4,1985.63,272.4
350,-300,-1635.63,-572.4,1985.63,272.4
350,-275,-1635.63,-547.4,1985.63,272.4
350,-250,-1635.63,-522.4,1985.63,272.4
350,-225,-1635.63,-497.4,1985.63,272.4
350,-200,-1635.63,-472.4,1985.63,272.4
350,-170,-1635.63,-442.4,1985.63,272.4
350,-150,-1635.63,-422.4,1985.63,272.4
350,-125,-1635.63,-397.4,1985.63,272.4
350,-100,-1635.63,-372.4,1985.63,272.4
350,-76,-1635.63,-348.4,1985.63,272.4
350,-50,-1635.63,-322.4,1985.63,272.4
350,-25,-1635.63,-297.4,1985.63,272.4
350,0,-1635.63,-272.4,1985.63,272.4
375,-300,-1610.63,-572.4,1985.63,272.4
375,-275,-1610.63,-547.4,1985.63,272.4
375,-250,-1610.63,-522.4,1985.63,272.4
375,-225,-1610.63,-497.4,1985.63,272.4
375,-200,-1610.63,-472.4,1985.63,272.4
375,-175,-1610.63,-447.4,1985.63,272.4
375,-150,-1610.63,-422.4,1985.63,272.4
375,-125,-1610.63,-397.4,1985.63,272.4
375,-100,-1610.63,-372.4,1985.63,272.4
375,-76,-1610.63,-348.4,1985.63,272.4
375,-50,-1610.63,-322.4,1985.63,272.4
375,-25,-1610.63,-297.4,1985.63,272.4
375,0,-1610.63,-272.4,1985.63,272.4
400,-300,-1585.63,-572.4,1985.63,272.4
400,-275,-1585.63,-547.4,1985.63,272.4
400,-250,-1585.63,-522.4,1985.63,272.4
400,-225,-1585.63,-497.4,1985.63,272.4
400,-190,-1585.63,-462.4,1985.63,272.4
400,-175,-1585.63,-447.4,1985.63,272.4
400,-150,-1585.63,-422.4,1985.63,272.4
400,-125,-1585.63,-397.4,1985.63,272.4
400,-100,-1585.63,-372.4,1985.63,272.4
400,-75,-1585.63,-347.4,1985.63,272.4
400,-50,-1585.63,-322.4,1985.63,272.4
400,-25,-1585.63,-297.4,1985.63,272.4
400,0,-1585.63,-272.4,1985.63,272.4
425,-300,-1560.63,-572.4,1985.63,272.4
425,-275,-1560.63,-547.4,1985.63,272.4
425,-250,-1560.63,-522.4,1985.63,272.4
425,-225,-1560.63,-497.4,1985.63,272.4
425,-215,-1560.63,-487.4,1985.63,272.4
425,-175,-1560.63,-447.4,1985.63,272.4
425,-150,-1560.63,-422.4,1985.63,272.4
425,-125,-1560.63,-397.4,1985.63,272.4
425,-75,-1560.63,-347.4,1985.63,272.4
425,-50,-1560.63,-322.4,1985.63,272.4
425,-25,-1560.63,-297.4,1985.63,272.4
425,0,-1560.63,-272.4,1985.63,272.4
425,25,-1560.63,-247.4,1985.63,272.4
425,50,-1560.63,-222.4,1985.63,272.4
425,75,-1560.63,-197.4,1985.63,272.4
425,100,-1560.63,-172.4,1985.63,272.4
425,125,-1560.63,-147.4,1985.63,272.4
450,-300,-1535.63,-572.4,1985.63,272.4
450,-275,-1535.63,-547.4,1985.63,272.4
450,-250,-1535.63,-522.4,1985.63,272.4
450,-225,-1535.63,-497.4,1985.63,272.4
450,-200,-1535.63,-472.4,1985.63,272.4
450,-175,-1535.63,-447.4,1985.63,272.4
450,-150,-1535.63,-422.4,1985.63,272.4
450,-125,-1535.63,-397.4,1985.63,272.4
450,-100,-1535.63,-372.4,1985.63,272.4
447,-75,-1538.63,-347.4,1985.63,272.4
450,-50,-1535.63,-322.4,1985.63,272.4
