QuadID,NW X,NW Y,NE X,NE Y,SE X,SE Y,SW X,SW Y
N370E010,-272.42,-1615.6314,-262.42,-1615.63,-262.42,-1625.63,-272.42,-1625.63
N380E010,-272.42,-1605.63,-262.42,-1605.63,-262.42,-1615.63,-272.42,-1615.63
N390E010,-272.42,-1595.63,-262.42,-1595.63,-262.42,-1605.63,-272.42,-1605.63
N390W010,-282.42,-1595.63,-272.42,-1595.64,-272.42,-1605.63,-282.42,-1605.63
N400E010,-272.42,-1585.63,-262.42,-1585.63,-262.42,-1595.63,-272.42,-1595.63
N400W010,-282.42,-1585.63,-272.42,-1585.63,-272.42,-1595.63,-282.42,-1595.63
N410E010,-272.42,-1575.63,-262.42,-1575.63,-262.42,-1585.63,-272.42,-1585.63
N410W010,-282.42,-1575.63,-272.42,-1575.63,-272.42,-1585.63,-282.42,-1585.63
N420E010,-272.42,-1565.63,-262.42,-1565.63,-262.42,-1575.63,-272.42,-1575.63
N420W010,-282.42,-1565.63,-272.42,-1565.63,-272.42,-1575.63,-282.42,-1575.63
N430E010,-272.42,-1555.63,-262.42,-1555.63,-262.42,-1565.63,-272.42,-1565.63
N430E020,-262.42,-1555.63,-252.42,-1555.63,-252.42,-1565.63,-262.42,-1565.63
N430W010,-282.42,-1555.63,-272.42,-1555.63,-262.42,-1565.63,-282.42,-1565.63
N440E010,-272.42,-1545.63,-262.42,-1545.63,-262.42,-1555.63,-272.42,-1555.63
N440E020,-262.42,-1545.63,-252.42,-1545.63,-252.42,-1555.63,-262.42,-1555.63
N440W010,-282.42,-1545.63,-272.42,-1545.63,-272.42,-1555.63,-282.42,-1555.63
TXE6A,-462,-1547.4,-457,-1547.4,-457,-1552.4,-462,-1552.4
TXE6B,-457,-1547.4,-452,-1547.4,-452,-1552.4,-457,-1552.4
TXE7A,-452,-1547.4,-447,-1547.4,-447,-1552.4,-452,-1552.4
TXE7B,-447,-1547.4,-442,-1547.4,-442,-1552.4,-447,-1552.4
TXE6D,-462,-1552.3,-457,-1552.3,-457,-1557.3,-462,-1557.3
TXE6C,-457,-1552.3,-452,-1552.3,-452,-1557.3,-457,-1557.3
TXE7D,-452,-1552.4,-447,-1552.3,-447,-1557.3,-452,-1557.3
TXE7C,-447,-1552.4,-442,-1552.3,-442,-1557.3,-447,-1557.3
TXE5A,-462,-1557.4,-457,-1557.4,-457,-1562.4,-462,-1562.4
TXE5B,-457,-1557.4,-452,-1557.4,-452,-1562.4,-457,-1562.4
TXE5D,-462,-1562.4,-457,-1562.4,-457,-1567.4,-462,-1567.4
TXE5C,-457,-1562.4,-452,-1562.4,-452,-1567.4,-457,-1567.4
TXN1,-478.4,-1549,-470.6,-1549,-470.6,-1557.4,-478.4,-1557.4
TXN2,-470.5,-1549,-463.7,-1549,-463.7,-1557.4,-470.5,-1557.4
TXN4,-478.3,-1557.4,-470.6,-1557.4,-470.5,-1567.47,-478.3,-1567.47
TXN3,-470.5,-1557.4,-463.7,-1557.4,-463.7,-1567.4,-470.5,-1567.4
TXM1,-478.2,-1570.1,-470.6,-1570.1,-470.5,-1576.3,-478.2,-1576.3
TXM2,-470.5,-1570.1,-463.7,-1570.1,-463.7,-1576.3,-470.5,-1576.3
TXM4,-478.2,-1576.3,-470.5,-1576.3,-470.5,-1584.5,-478.2,-1584.5
TXM3,-470.5,-1576.3,-463.7,-1576.3,-463.7,-1584.5,-470.5,-1584.5
TXE2,-462,-1588,-452,-1588,-452,-1598,-462,-1598
TXW3,-490.5,-1576.2,-480.5,-1576.2,-480.5,-1586.2,-490.5,-1586.2
TXW6A,-490.5,-1547.4,-480.5,-1547.4,-480.5,-1557.4,-490.5,-1557.4
TXS1,-478.4,-1585.92,-470.6,-1585.8,-470.6,-1591.5,-478.4,-1591.5
TXS4,-478.4,-1591.6,-470.6,-1591.5,-470.6,-1604.3,-478.4,-1604.3
